,name,year,engine,transmission,fuel,ownership,distance_travelled,Price
1207, Maruti Swift Dzire,2012,VXI,Manual,Petrol,1st Owner,44074,418000
1208, Hyundai NEW I20,2021,ASTA (O) 1.0 TURBO GDI DCT,Automatic,Petrol,1st Owner,29202,1098000
1209, Honda City,2017,1.5L I-VTEC VX CVT,Automatic,Petrol,1st Owner,76087,882000
1210, Renault Kwid,2017,RXT 1.0,Manual,Petrol,1st Owner,10254,398000
1211, Maruti Baleno,2017,ALPHA CVT PETROL 1.2,Automatic,Petrol,2nd Owner,41500,681000
1212, Hyundai Eon,2014,ERA +,Manual,Petrol,1st Owner,34474,295000
1213, Honda Amaze,2018,1.2L I-VTEC V CVT,Automatic,Petrol,1st Owner,29256,753000
1214, Hyundai Grand i10,2015,ASTA AT 1.2 KAPPA VTVT,Automatic,Petrol,1st Owner,60942,542000
1215, Hyundai Creta,2016,SX PLUS 1.6 PETROL,Manual,Petrol,2nd Owner,51580,936000
1216, Renault Kwid,2020,RXT 1.0 AMT (O),Automatic,Petrol,1st Owner,12341,556000
1217, Hyundai Grand i10,2018,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,34090,578000
1218, Maruti Baleno,2022,ALPHA 1.2 AGS,Automatic,Petrol,1st Owner,26897,978000
1219, Ford FREESTYLE,2018,TITANIUM 1.2 PETROL,Manual,Petrol,1st Owner,20678,637000
1220, Maruti Ertiga,2012,VDI,Manual,Diesel,1st Owner,82321,651000
1221, Maruti Swift Dzire,2013,VXI,Manual,Petrol,1st Owner,30211,494000
1222, Ford FREESTYLE,2018,TITANIUM PLUS 1.2 PETROL,Manual,Petrol,1st Owner,52626,555000
1223, Maruti Vitara Brezza,2017,ZDI,Manual,Diesel,1st Owner,86210,826000
1224, Hyundai Grand i10,2015,ASTA AT 1.2 KAPPA VTVT,Automatic,Petrol,2nd Owner,56719,471000
1225, Hyundai Grand i10,2014,ASTA 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,124340,408000
1226, Maruti Swift,2017,ZXI,Manual,Petrol,1st Owner,52382,663000
1227, Mahindra XUV500,2020,W9,Manual,Diesel,1st Owner,58579,1580000
1228, Hyundai Creta,2020,SX (O) IVT 1.5 PETROL,Automatic,Petrol,1st Owner,12975,1800000
1229, Maruti Dzire,2019,VXI AMT,Automatic,Petrol,1st Owner,23212,692000
1230, Hyundai NEW SANTRO,2018,ASTA MT,Manual,Petrol,2nd Owner,27965,548000
1231, Maruti Celerio,2016,VXI (O),Manual,Petrol,1st Owner,71295,440000
1232, Ford Ecosport,2016,TITANIUM 1.5L DIESEL,Manual,Diesel,2nd Owner,74380,669000
1233, Hyundai i20,2013,ASTA 1.4 CRDI,Manual,Diesel,1st Owner,124514,479000
1234, Maruti Swift,2021,VXI,Manual,Petrol,2nd Owner,5973,743000
1235, Hyundai VENUE,2020,SX 1.0 (O) TURBO IMT,Manual,Petrol,1st Owner,11208,1173000
1236, KIA SELTOS,2020,GTX PLUS DCT 1.4 PETROL,Automatic,Petrol,1st Owner,62750,1443000
1237, Hyundai NEW I20 N LINE,2022,N8 1.0 TURBO GDI IMT,Manual,Petrol,2nd Owner,17418,1146000
1238, Maruti Ciaz,2020,DELTA 1.5 SHVS MT PETROL,Manual,Petrol,1st Owner,40908,825000
1239, Hyundai Grand i10,2017,ASTA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,86046,525000
1240, Hyundai i20,2012,SPORTZ 1.2,Manual,Petrol,1st Owner,67444,422000
1241, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,91087,520000
1242, Maruti Celerio,2019,VXI AMT,Automatic,Petrol,1st Owner,20017,519000
1243, Nissan Micra,2016,XV CVT,Automatic,Petrol,2nd Owner,33902,494000
1244, Hyundai Grand i10,2014,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,60008,399000
1245, Hyundai Creta,2016,SX PLUS AT 1.6 PETROL,Automatic,Petrol,2nd Owner,75598,930000
